date,spx,dax,ftse,nikkei
2004-02-04,1126.52,4028.37,4398.5,10447.25
2004-02-05,1128.59,4014.79,4384.4,10464.6
2004-02-06,1142.76,4044.99,4402.7,10460.92
2004-02-09,1139.81,4098.97,4434.4,10402.61
2004-02-10,1145.54,4110.8,4405.0,10365.4
2004-02-11,1157.76,4122.16,4396.1,10365.4
2004-02-12,1152.11,4121.65,4377.7,10459.26
2004-02-13,1145.81,4057.05,4412.0,10557.69
2004-02-16,1145.81,4070.46,4408.1,10548.72
2004-02-17,1156.99,4095.86,4461.5,10701.13
2004-02-18,1151.82,4095.34,4442.9,10676.81
2004-02-19,1147.06,4141.53,4515.6,10753.8
2004-02-20,1144.11,4073.35,4515.0,10720.69
2004-02-23,1140.99,4068.71,4524.3,10868.96
2004-02-24,1139.09,3991.42,4496.8,10644.13
2004-02-25,1143.67,3995.34,4507.6,10658.73
2004-02-26,1144.91,4007.81,4515.9,10815.29
2004-02-27,1144.94,4018.16,4492.2,11041.92
2004-03-01,1155.97,4054.43,4537.0,11271.12
2004-03-02,1149.1,4100.34,4540.1,11361.51
2004-03-03,1151.03,4071.7,4525.1,11351.92
2004-03-04,1154.87,4133.78,4559.1,11401.79
2004-03-05,1156.86,4126.14,4547.1,11537.29
2004-03-08,1147.2,4145.99,4553.8,11502.86
2004-03-09,1140.58,4087.55,4542.0,11532.04
2004-03-10,1123.89,4044.7,4545.3,11433.24
2004-03-11,1106.78,3904.95,4445.2,11297.04
2004-03-12,1120.57,3915.38,4467.4,11162.75
2004-03-15,1104.49,3810.76,4412.9,11317.9
2004-03-16,1110.7,3822.37,4428.9,11242.29
2004-03-17,1123.75,3896.79,4456.8,11436.86
2004-03-18,1122.32,3827.43,4397.9,11484.28
2004-03-19,1109.78,3819.15,4417.7,11418.51
2004-03-22,1095.4,3729.23,4333.8,11318.51
2004-03-23,1093.95,3728.82,4318.5,11281.09
2004-03-24,1091.33,3726.07,4309.5,11364.99
2004-03-25,1109.19,3811.92,4373.6,11530.91
2004-03-26,1108.06,3822.33,4357.5,11770.65
2004-03-29,1122.47,3881.25,4406.7,11718.24
2004-03-30,1127.0,3874.04,4412.8,11693.68
2004-03-31,1126.21,3856.7,4385.7,11715.39
2004-04-01,1132.17,3924.85,4410.7,11683.42
2004-04-02,1141.81,4007.6,4465.6,11815.95
2004-04-05,1150.57,4048.6,4480.7,11958.32
2004-04-06,1148.16,4022.81,4472.8,12079.7
2004-04-07,1140.53,4001.16,4468.7,12019.62
2004-04-08,1139.32,4013.53,4489.7,12092.59
2004-04-09,1139.32,4013.53,4489.7,11897.51
2004-04-12,1145.2,4013.53,4489.7,12042.7
2004-04-13,1129.44,4071.42,4515.8,12127.82
2004-04-14,1128.17,4012.77,4485.4,12098.18
2004-04-15,1128.84,4004.61,4505.5,11800.4
2004-04-16,1134.61,4033.98,4537.3,11824.56
2004-04-19,1135.82,4025.07,4546.2,11764.21
2004-04-20,1118.15,4061.13,4569.0,11952.26
2004-04-21,1124.09,4026.15,4539.9,11944.3
2004-04-22,1139.93,4059.15,4571.8,11980.1
2004-04-23,1140.6,4103.62,4570.0,12120.66
2004-04-26,1135.53,4125.83,4571.9,12163.89
2004-04-27,1138.11,4134.1,4575.7,12044.88
2004-04-28,1122.41,4065.74,4524.5,12004.29
2004-04-29,1113.89,4008.91,4519.5,12004.29
2004-04-30,1107.3,3985.21,4489.7,11761.79
2004-05-03,1117.49,4007.65,4489.7,11761.79
2004-05-04,1119.55,3990.75,4547.2,11761.79
2004-05-05,1121.53,4022.1,4569.5,11761.79
2004-05-06,1113.99,3909.46,4516.2,11571.34
2004-05-07,1098.7,3895.64,4498.4,11438.82
2004-05-10,1087.12,3784.61,4395.2,10884.7
2004-05-11,1095.45,3849.84,4454.7,10907.18
2004-05-12,1097.28,3776.24,4412.9,11153.58
2004-05-13,1096.44,3824.93,4453.8,10825.1
2004-05-14,1095.7,3803.1,4441.8,10849.63
2004-05-17,1084.1,3754.37,4403.0,10505.05
2004-05-18,1091.49,3789.24,4414.4,10711.09
2004-05-19,1088.68,3872.26,4471.8,10967.74
2004-05-20,1089.19,3839.32,4428.7,10862.04
2004-05-21,1093.56,3831.84,4431.4,11070.25
2004-05-24,1095.41,3867.84,4428.9,11101.64
2004-05-25,1113.05,3828.07,4418.0,10962.93
2004-05-26,1114.94,3867.52,4438.3,11152.09
2004-05-27,1121.28,3913.33,4453.6,11166.03
2004-05-28,1120.68,3902.72,4430.7,11309.57
2004-05-31,1120.68,3921.41,4430.7,11236.37
2004-06-01,1121.2,3864.18,4422.7,11296.76
2004-06-02,1124.99,3888.31,4422.8,11242.34
2004-06-03,1116.64,3917.08,4435.4,11027.05
2004-06-04,1122.5,3961.93,4454.5,11128.05
2004-06-07,1140.42,4017.81,4491.6,11439.92
2004-06-08,1142.18,4018.95,4504.8,11521.93
2004-06-09,1131.33,3997.76,4489.5,11449.74
2004-06-10,1136.47,4021.64,4486.1,11575.97
2004-06-11,1136.47,4014.56,4484.0,11526.82
2004-06-14,1125.29,3948.65,4433.2,11491.66
2004-06-15,1132.01,3987.3,4458.6,11387.7
2004-06-16,1133.56,4003.24,4491.1,11641.72
2004-06-17,1132.05,3985.46,4493.3,11607.9
2004-06-18,1135.02,3999.79,4505.8,11382.08
2004-06-21,1130.3,3989.31,4502.2,11600.16
2004-06-22,1134.41,3928.39,4468.5,11581.27
2004-06-23,1144.06,3945.1,4486.7,11580.56
2004-06-24,1140.65,4007.05,4503.2,11744.15
2004-06-25,1134.43,4013.35,4494.1,11780.4
2004-06-28,1133.35,4069.35,4518.7,11884.06
2004-06-29,1136.2,4069.73,4512.4,11860.81
2004-06-30,1140.84,4052.73,4464.1,11858.87
2004-07-01,1128.94,4035.02,4424.7,11896.01
